bus,voltage_pu
sourcebus,0.9999957287720007
bus1,0.9973936400962607
bus2,0.9961831603138962
bus3,0.9952144244141573
bus4,0.9944876668213397
bus5,0.994003063698989
bus6,0.9937607326543171
